15012	 Q0 	http://basketball.realgm.com/player/LeBron-James/News/250	5	0.7002717000	 Exp 
15012	 Q0 	http://www.jockbio.com/Bios/James/James_bio.html	6	0.6624535000	 Exp 
15012	 Q0 	http://static.espn.go.com/nba/news/2003/0131/1502001.html	7	0.6612601000	 Exp 
15012	 Q0 	http://www.theguardian.com/sport/2014/jul/11/lebron-james-cleveland-miami-nba	8	0.6295738000	 Exp 
15012	 Q0 	http://espn.go.com/nba/story/_/page/5-on-5-120301/nba-lebron-james-all-time-greats	9	0.6282465500	 Exp 
15012	 Q0 	http://www.theguardian.com/sport/miami-heat	10	0.6159826000	 Exp 
15012	 Q0 	http://www.theguardian.com/sport/2014/jul/12/miami-lebron-king-james-cleveland	11	0.6139767000	 Exp 
15012	 Q0 	http://www.theguardian.com/sport/cleveland-cavaliers	12	0.6069996000	 Exp 
15012	 Q0 	http://commons.wikimedia.org/wiki/Category:LeBron_James	13	0.6042220600	 Exp 
15012	 Q0 	http://www.theguardian.com/sport/2010/jul/09/lebron-james-joins-miami-heat	14	0.6014293000	 Exp 
15012	 Q0 	http://simple.wikipedia.org/wiki/LeBron_James	15	0.5824306000	 Exp 
15012	 Q0 	http://www.celebritynetworth.com/richest-athletes/nba/lebron-james-net-worth/	16	0.5795973500	 Exp 
15012	 Q0 	http://basketball.realgm.com/nba/teams/Miami-Heat/15/Rosters/Playoff/2013	17	0.5764328000	 Exp 
15012	 Q0 	http://www.lebronjames.com/	18	0.5644378000	 Exp 
15012	 Q0 	http://www.lebronjames.com	19	0.5644378000	 Exp 
15012	 Q0 	http://basketball.realgm.com/nba/teams/Miami-Heat/15/Rosters/Playoff/2012	20	0.5574879600	 Exp 
15012	 Q0 	http://www.esquire.com/features/75-most-influential/lebron-james-1008-2	21	0.5502490400	 Exp 
15012	 Q0 	http://www.theguardian.com/sport/gallery/2010/jul/09/lebron-james-nba	22	0.5432859700	 Exp 
15012	 Q0 	http://www.theguardian.com/sport/2014/jul/11/lebron-james-to-return-to-cleveland	23	0.5387115000	 Exp 
15012	 Q0 	http://www.nba.com/heat/community/the_lebron_james_family_founda_2012_05_01.html	24	0.5282905000	 Exp 
15012	 Q0 	http://basketball.realgm.com/nba/teams/Cleveland-Cavaliers/5/Rosters/Playoff/2007	25	0.5282385300	 Exp 
15012	 Q0 	http://en.wikipedia.org/wiki/2014-15_Cleveland_Cavaliers_season	26	0.5249186000	 Exp 
15012	 Q0 	http://basketball.realgm.com/nba/teams/Cleveland-Cavaliers/5/Awards/Season	27	0.5242559000	 Exp 
15012	 Q0 	http://basketball.realgm.com/nba/teams/Cleveland-Cavaliers/5/Schedule	28	0.5230775000	 Exp 
15012	 Q0 	http://basketball.realgm.com/nba/teams/Cleveland-Cavaliers/5/Schedule/2015	29	0.5230775000	 Exp 
15012	 Q0 	http://basketball.realgm.com/nba/teams/Cleveland-Cavaliers/5/Awards/Type	30	0.5229604000	 Exp 
15012	 Q0 	http://grantland.com/features/lebron-makes-leleap/	31	0.5224612400	 Exp 
15012	 Q0 	http://basketball.realgm.com/nba/teams/Miami-Heat/15/Rosters/Playoff	32	0.5196047400	 Exp 
15012	 Q0 	http://basketball.realgm.com/nba/teams/Miami-Heat/15/Rosters/Playoff/2014	33	0.5196047400	 Exp 
15012	 Q0 	http://nba.si.com/2013/02/28/lebron-james-miami-heat-february/	34	0.5183399300	 Exp 
15012	 Q0 	http://en.wikipedia.org/wiki/Category:LeBron_James	35	0.5153624400	 Exp 
15012	 Q0 	http://en.wikipedia.org/wiki/The_Decision_(TV_special)	36	0.5149457500	 Exp 
15012	 Q0 	http://www.basketball-reference.com/leaders/bpm_progress.html	37	0.5117057600	 Exp 
15012	 Q0 	http://nba.si.com/2013/04/16/lebron-james-mvp-nba-2013/	38	0.5116024600	 Exp 
15012	 Q0 	http://en.wikipedia.org/wiki/File:LeBron_James_vs_Yao_Ming_-_Olympics_2008.jpg	39	0.5069181300	 Exp 
15012	 Q0 	http://articles.sun-sentinel.com/2010-07-08/sports/sfl-lebron-james-decision-070810_1_james-and-bosh-dwyane-wade-lebron-james	40	0.5058418000	 Exp 
15012	 Q0 	http://en.wikipedia.org/wiki/Brian_Windhorst	41	0.5008111000	 Exp 
15012	 Q0 	http://www.slate.com/articles/arts/movies/2009/10/selflove_and_basketball.html	42	0.5005541400	 Exp 
15012	 Q0 	http://www.basketball-reference.com/awards/pom.html	43	0.4993858300	 Exp 
15012	 Q0 	http://www.sbnation.com/nba/2013/5/31/4382192/nba-playoffs-2013-lebron-james-third-quarter-heat-vs-pacers	44	0.4986851000	 Exp 
15012	 Q0 	http://en.wikipedia.org/wiki/Lebron_James	45	0.4986343700	 Exp 
15012	 Q0 	http://en.wikipedia.org/wiki/LeBron_James	46	0.4976137000	 Exp 
15012	 Q0 	http://www.basketball-reference.com/leaders/obpm_progress.html	47	0.4946372500	 Exp 
15012	 Q0 	http://espn.go.com/nba/truehoop/miamiheat/story/_/id/11127329/lebron-james-opt-contract-miami-heat	48	0.4922541400	 Exp 
15012	 Q0 	http://basketball.realgm.com/nba/teams/Cleveland-Cavaliers/5/individual-games	49	0.4921326600	 Exp 
15012	 Q0 	http://en.wikipedia.org/wiki/File:LeBron_James_(15662939969).jpg	50	0.4872192700	 Exp 
15012	 Q0 	http://basketball.realgm.com/nba/teams/Cleveland-Cavaliers/5/Rosters/Playoff/2009	51	0.4849936000	 Exp 
15012	 Q0 	http://en.wikipedia.org/wiki/File:LeBronJamesDunkingHeat.jpg	52	0.4833989700	 Exp 
15012	 Q0 	http://nba.si.com/2013/05/23/lebron-james-shoes-kobe-bryant-carmelo-anthony/	53	0.4788476500	 Exp 
15012	 Q0 	http://espn.go.com/espn/commentary/story/_/page/jackson-120308/lebron-james-passing-last-second-shots-earns-long-lasting-stigma	54	0.4727510500	 Exp 
15012	 Q0 	http://www.cleveland.com/cavs/index.ssf/2015/02/lebron_james_stephen_curry_fac.html	55	0.4723220800	 Exp 
15012	 Q0 	http://sports.yahoo.com/blogs/nba-ball-dont-lie/lebron-james-bold-move-leave-caa-league-wide-130137478--nba.html	56	0.4697882500	 Exp 
15012	 Q0 	http://www.landofbasketball.com/nba_players/j/lebron_james.htm	57	0.4686689000	 Exp 
15012	 Q0 	http://www.denverpost.com/nuggets/ci_15472852	58	0.4666333800	 Exp 
15012	 Q0 	http://en.wikipedia.org/wiki/Miami_Heat_accomplishments_and_records	59	0.4648683400	 Exp 
